instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
1,2011-01-01,Spring,2011,1,0,0,Sat,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,Malam (21–04)
2,2011-01-01,Spring,2011,1,1,0,Sat,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,Malam (21–04)
3,2011-01-01,Spring,2011,1,2,0,Sat,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,Malam (21–04)
4,2011-01-01,Spring,2011,1,3,0,Sat,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,Malam (21–04)
5,2011-01-01,Spring,2011,1,4,0,Sat,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,Malam (21–04)
6,2011-01-01,Spring,2011,1,5,0,Sat,0,Misty,0.24,0.2576,0.75,0.0896,0,1,1,Pagi (05–11)
7,2011-01-01,Spring,2011,1,6,0,Sat,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,Pagi (05–11)
8,2011-01-01,Spring,2011,1,7,0,Sat,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,Pagi (05–11)
9,2011-01-01,Spring,2011,1,8,0,Sat,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,Pagi (05–11)
10,2011-01-01,Spring,2011,1,9,0,Sat,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,Pagi (05–11)
11,2011-01-01,Spring,2011,1,10,0,Sat,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Pagi (05–11)
12,2011-01-01,Spring,2011,1,11,0,Sat,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Pagi (05–11)
13,2011-01-01,Spring,2011,1,12,0,Sat,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Siang (12–16)
14,2011-01-01,Spring,2011,1,13,0,Sat,0,Misty,0.46,0.4545,0.72,0.2985,47,47,94,Siang (12–16)
15,2011-01-01,Spring,2011,1,14,0,Sat,0,Misty,0.46,0.4545,0.72,0.2836,35,71,106,Siang (12–16)
16,2011-01-01,Spring,2011,1,15,0,Sat,0,Misty,0.44,0.4394,0.77,0.2985,40,70,110,Siang (12–16)
17,2011-01-01,Spring,2011,1,16,0,Sat,0,Misty,0.42,0.4242,0.82,0.2985,41,52,93,Siang (12–16)
18,2011-01-01,Spring,2011,1,17,0,Sat,0,Misty,0.44,0.4394,0.82,0.2836,15,52,67,Sore (17–20)
19,2011-01-01,Spring,2011,1,18,0,Sat,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,Sore (17–20)
20,2011-01-01,Spring,2011,1,19,0,Sat,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,Sore (17–20)
21,2011-01-01,Spring,2011,1,20,0,Sat,0,Misty,0.4,0.4091,0.87,0.2537,11,25,36,Sore (17–20)
